day,temperature,temperature_scaled
1,12.031347897517932,-1.1986624408823854
2,12.934725864220823,-1.069055089176206
3,14.920568876243928,-0.7841468191284972
4,16.215253517675123,-0.5983988223260147
5,15.207600707558592,-0.7429664528994595
6,15.388524192719483,-0.7170094175970173
7,16.006701005153026,-0.6283197854620888
8,14.32281344065916,-0.8699066027735144
9,14.081053878921072,-0.904591770777867
10,17.234626102660055,-0.4521497593518771
11,16.13145747693823,-0.6104210138379577
12,15.106314477755577,-0.7574979563154486
13,15.515828575000413,-0.6987450980583841
14,11.263403471815176,-1.3088391852146852
15,14.938052705789037,-0.7816384196229234
16,13.291914065925086,-1.0178094106342057
17,9.767443486788034,-1.5234640920246503
18,13.06579836526734,-1.0502501588277866
19,10.98767980103819,-1.3483971732211213
20,10.780586316913096,-1.378108810013661
21,9.33915980070506,-1.5849098172671734
22,7.5326723547096925,-1.8440860008755158
23,10.124423087003793,-1.4722483414723548
24,9.721070769345868,-1.5301171711572243
25,9.48186650273512,-1.5644357317763082
26,11.375890098288345,-1.2927007644241497
27,10.47956223801199,-1.4212966395868785
28,14.703611361560638,-0.8152736452713623
29,14.46001622598405,-0.8502221624748737
30,17.546343943314945,-0.40742769915563104
31,15.035540298973,-0.7676519054035231
32,16.704646513669225,-0.5281857636814159
33,21.068684980217768,0.09792145748271865
34,20.64148560743773,0.036631298327473825
35,17.050282928812038,-0.47859741631074026
36,23.595046211609827,0.46037770583350035
37,25.237392682161108,0.696004635510599
38,20.97024934432445,0.08379892787508378
39,22.990379142200307,0.3736263122654978
40,23.01393049793253,0.37700521783775154
41,22.39216170208273,0.2878002449760033
42,19.31847855082472,-0.15318010644037583
43,23.17188779016528,0.39966730069071826
44,21.318936496697795,0.13382496355317267
45,19.18977124349049,-0.17164570319353348
46,17.582740342973377,-0.4022059191861838
47,18.44132900607452,-0.2790244747287429
48,16.526584346277456,-0.5537322866267775
49,17.55452612542126,-0.4062538040717743
50,15.340049763660506,-0.7239640286317908
51,15.686410242965852,-0.6742718000042878
52,15.141518258909244,-0.7524472809463965
53,16.500813415937692,-0.5574296338673039
54,17.37269528888972,-0.43234101678893233
55,16.620662095865747,-0.5402349815916354
56,17.90050161905042,-0.3566168092177019
57,18.49874860884111,-0.27078650244593366
58,20.750175770195455,0.05222504166721522
59,22.15512983616976,0.25379335799924996
60,21.050019706980034,0.09524355662351995
61,23.7615994150227,0.48427304134993854
62,23.733690045252064,0.4802688928793235
63,22.603629938427325,0.31813952608846074
64,27.91865722737719,1.0806848133961218
65,27.547065268834825,1.0273726324075103
66,29.057611348448628,1.2440902016033126
67,28.045006672917072,1.0988121284619699
68,31.44576503476595,1.586717857091324
69,28.116793764720253,1.1091113998613558
70,28.52265476327722,1.1673401492028752
71,27.49156624318696,1.0194102047176408
72,29.645435889636317,1.3284252029641472
73,26.777089966650028,0.9169045188674357
74,25.29350663786164,0.7040552870210046
75,23.01605774057536,0.3773104126681941
76,21.229418211032584,0.1209818033677516
77,22.560145549223478,0.3119008344964563
78,24.365397516649445,0.5708997643844604
79,8.69641684270108,-1.6771239465520973
80,19.972678962436664,-0.05932217990318543
81,20.93143861813887,0.07823076524093671
82,19.845367884241103,-0.07758746010257705
83,22.97327048983677,0.37117173931172903
84,19.734888502080743,-0.09343790218519706
85,23.35942997521136,0.4265739187763096
86,23.002136118137507,0.37531308189178747
87,25.81060901110382,0.7782438012721404
88,23.528144488249385,0.45077933670239
89,26.97176451099216,0.9448344142897015
90,24.943551921912665,0.6538473943968621
91,27.07821496457198,0.9601068272607164
92,31.54927440687294,1.6015683140318666
93,34.184197476285014,1.97959989501278
94,34.307101779688495,1.9972329366238741
95,33.43722509519744,1.8724320033010042
96,34.28168604903987,1.9935865497709069
97,35.9877191258552,2.2383505767442387
98,34.678026431976264,2.050449379394793
99,36.11979241478637,2.2572990898145417
100,33.315014293626774,1.8548984581789403
