day,temperature
1,12.031347897517932
2,12.934725864220825
3,14.920568876243927
4,16.215253517675123
5,15.207600707558592
6,15.388524192719483
7,16.006701005153026
8,14.322813440659159
9,14.081053878921072
10,17.234626102660055
11,16.13145747693823
12,15.106314477755575
13,15.515828575000413
14,11.263403471815177
15,14.938052705789035
16,13.291914065925086
17,9.767443486788034
18,13.065798365267339
19,10.98767980103819
20,10.780586316913096
21,9.33915980070506
22,7.5326723547096925
23,10.124423087003791
24,9.721070769345868
25,9.48186650273512
26,11.375890098288343
27,10.47956223801199
28,14.703611361560638
29,14.46001622598405
30,17.546343943314945
31,15.035540298973
32,16.704646513669225
33,21.068684980217768
34,20.641485607437726
35,17.050282928812038
36,23.595046211609827
37,25.237392682161108
38,20.970249344324454
39,22.990379142200307
40,23.013930497932535
41,22.392161702082735
42,19.31847855082472
43,23.17188779016528
44,21.318936496697795
45,19.18977124349049
46,17.582740342973377
47,18.44132900607452
48,16.526584346277456
49,17.55452612542126
50,15.340049763660506
51,15.686410242965852
52,15.141518258909244
53,16.500813415937692
54,17.37269528888972
55,16.620662095865747
56,17.90050161905042
57,18.49874860884111
58,20.750175770195458
59,22.15512983616976
60,21.050019706980034
61,23.7615994150227
62,23.733690045252064
63,22.603629938427325
64,27.91865722737719
65,27.547065268834825
66,29.057611348448628
67,28.045006672917072
68,31.44576503476595
69,28.116793764720253
70,28.52265476327722
71,27.491566243186956
72,29.645435889636314
73,26.777089966650028
74,25.293506637861636
75,23.01605774057536
76,21.229418211032584
77,22.560145549223474
78,24.365397516649445
79,8.69641684270108
80,19.972678962436664
81,20.93143861813887
82,19.845367884241103
83,22.973270489836775
84,19.734888502080743
85,23.35942997521136
86,23.002136118137507
87,25.81060901110382
88,23.528144488249385
89,26.971764510992156
90,24.943551921912665
91,27.07821496457198
92,31.54927440687294
93,34.184197476285014
94,34.307101779688495
95,33.43722509519744
96,34.28168604903987
97,35.9877191258552
98,34.678026431976264
99,36.119792414786374
100,33.315014293626774
