day,temperature
1,10.769814080348887
2,12.28678961956942
3,9.3212100124328
4,15.327049695327059
5,16.280558377907656
6,15.261813600486327
7,13.948855774796852
8,16.712718465713863
9,17.19254675501777
10,15.825347924758145
11,14.113885167807902
12,15.296706553471774
13,15.288902948338604
14,12.358276153007214
15,9.332248963854578
16,10.914094896348228
17,11.74834939351636
18,9.490519018089985
19,12.683435008709683
20,9.260023418133072
21,9.356239118793992
22,10.48253541739252
23,5.540598837530309
24,10.196041830498332
25,8.905986432043303
26,12.148875417089052
27,14.701191065869546
28,13.374556189019058
29,16.382659084514625
30,17.768835148564282
31,19.178278739588432
32,19.631354357690274
33,17.451841609073547
34,19.797596133391046
35,22.418261546979185
36,22.575999486659782
37,21.77789522647176
38,22.62391372494314
39,22.320499626543427
40,24.014288978354976
41,22.742671065224872
42,24.30754076137086
43,19.095989458776003
44,21.824362180756776
45,17.07485031398388
46,17.854928604214063
47,18.925021394391898
48,14.553599346948234
49,15.447921479570905
50,18.084498218045518
51,15.591555852307375
52,18.530045917770778
53,15.466256149539129
54,15.730395912288454
55,15.554750548762968
56,17.24832575566278
57,17.228321509834412
58,19.614764104937365
59,18.735869222741833
60,22.409184824771476
61,24.213543347673433
62,25.219251174464908
63,26.957722079590724
64,25.454934786302385
65,27.292661600359075
66,28.2293440543165
67,30.102313838804086
68,26.900839421807344
69,26.26259293748898
70,30.407929830909815
71,27.839720566290637
72,28.558790993898445
73,26.616766535943977
74,27.32105441994844
75,24.673267356029946
76,23.01744638917254
77,21.62589160496206
78,24.031868732269608
79,24.287255273128153
80,24.37859659608275
81,21.356661720881345
82,21.355351690881665
83,20.07049123087661
84,22.41143946891821
85,24.06560370518883
86,21.101623607974933
87,24.313845293624105
88,29.673558575118324
89,25.127172474909063
90,29.857699354216834
91,29.56239587824998
92,29.48883934528384
93,29.511131551769285
94,31.155693790108355
95,33.346930173431666
96,33.711857090976146
97,35.85936646267083
98,33.24346973892372
99,30.51042374521567
100,33.531098673066516
